,ID_ATRIBUTO,NOME,DESCRICAO,ID_FUNCAO,COLUNA,EDITAVEL,ID_CATEGORIA,TMP_ATTRIB_REF,STATUS_EXECUCAO,DATA_ULTIMA_EXECUCAO,DATA_ULTIMA_ALTERACAO,ID_USUARIO,DATA_CRIACAO,ID_COMPANY
0,100,[Fecha][Fact]: 12M Antes del último consumo,"Identifica la fecha de facturación de CU 12M antes de la última facturación.
",Data do evento,D100,1,0,,sucesso,2023-09-01 23:27:08,2018-07-24 20:52:03,1,2017-12-20 16:54:59,
1,101,[Fecha][Ocur]: Útimo cambio de medidor,Identifica la fecha del último cambio de medidor,Data do evento,D101,1,2,,sucesso,2023-09-01 23:27:08,2018-07-24 20:54:10,1,2017-12-20 16:57:57,
2,102,[Fecha][Ocur]: Último cambio de propiedad,"Identifica la fecha del último cambio de propiedad de UC
",Data do evento,D102,1,2,,sucesso,2023-09-01 23:27:08,2018-07-25 13:38:11,1,2017-12-20 16:59:18,
3,103,[Fecha][Ocur][Insp]: Ultima inspección,"Identifica la fecha de la última inspección UC
",Data do evento,D103,1,2,,sucesso,2023-09-01 23:27:08,2018-07-24 20:55:14,1,2017-12-20 17:00:14,
4,104,[Prop]:Fase,"Retorna las fases del medidor que está asociado a la unidad de consumo
",Propriedade da UC,id_fase,1,1,,,,2022-11-22 09:31:34,1,2017-12-20 17:04:15,
5,105,[Prop]: Estado de la Unidad de Consumo,"Estado de la unidad de consumo: A - Activo, I - Inactivo, U - Unificado, G - Activo Generación, N - Inactivo Generación.
",Propriedade da UC,id_situacao,1,3,,,,2018-04-12 15:55:18,1,2017-12-20 17:05:22,
6,106,[Ctd][Notas][Pantalla apagada]: Después del último fraude,"Número de notas del lector (mostrar apagado) después del último fraude.
",QTD_APONTAMENTOS2,N106,1,99,,,,2018-07-24 20:18:09,1,2017-12-20 17:13:40,
7,107,[Ctd][Nota][Visualización desactivada]: Después de la última irregularidad.,Número de notas del lector (visualización desactivada) después de la última irregularidad.,QTD_APONTAMENTOS2,N107,1,99,,,,2018-07-26 21:03:56,1,2017-12-20 17:16:42,
8,108,[Ctd][Notas][Pantalla apagada]: Después de Last NF,Número de notas del lector (visualización desactivada) después de la última NF.,QTD_APONTAMENTOS2,N108,1,99,,,,2018-07-24 20:14:35,1,2017-12-20 17:18:35,
9,109,[Ctd][Nota][Fact]: 12M Casa vacía,,QTD_APONTAMENTOS2,N109,1,99,,,,2018-07-24 20:11:20,1,2017-12-20 17:20:55,
10,110,[Ctd][Nota][Fact]: 2M Enlace M100,Identifica el número de ocurrencias de lectura con el código M100 (Burne / Damaged no leído) en los últimos 2 meses de consumo de la CU para el enlace.,QTD_APONTAMENTOS2,N110,1,99,,,,2018-07-26 20:59:41,1,2017-12-20 17:26:18,
11,111,[Ctd][Fact][Fact]: 2M Enlace M200,Identifica el número de eventos de lectura con el código M200 (Medidor defectuoso - Pantalla apagada) en los últimos 2 meses de consumo de la CU para el enlace.,QTD_APONTAMENTOS2,N111,1,99,,,,2018-07-26 21:17:38,1,2017-12-20 17:30:05,
12,112,[Ctd][Nota][Fact]: 3M - Medidor de Pies Inclinado Tumbado,"Nota de lectura en los últimos 3 meses: medidor acostado, inclinado o suelto.",QTD_APONTAMENTOS2,N112,1,99,,,,2018-07-27 13:19:46,1,2017-12-20 17:35:49,
13,113,[Ctd][Nota][Fact]: 3M -  Medidor o Conector sin sello,Número de notas del lector en los últimos 3M de consumo: medidor o conector sin sello.,QTD_APONTAMENTOS2,N113,1,99,,,,2018-07-26 21:06:07,1,2017-12-20 17:39:29,
14,114,[Ctd][Nota][Fact]: 3M - Medidor estacionario (4425),Notas del lector con sospechas en los últimos 3 meses (4425) con ubicación habitada.,QTD_APONTAMENTOS2,N114,1,99,,,,2018-07-26 21:05:05,1,2017-12-20 17:41:02,
15,115,[Ctd][Nota][Fact]: 3M - Medidor detenido (M141),Notas del lector con sospechas en los últimos 3 meses (M141) con ubicación deshabitada.,QTD_APONTAMENTOS2,N115,1,99,,,,2018-07-26 21:19:19,1,2017-12-20 17:42:09,
16,116,"[Ctd][Nota][Fact]: 3M - Suspected Fraud (4720,4210)","Notas del lector con sospechas en los últimos 3 meses (4720,4210)",QTD_APONTAMENTOS2,N116,1,99,,,,2018-07-26 21:02:58,1,2017-12-26 10:52:36,
17,117,[Ctd][Nota][Fact]: 3M  Casa vacía,Identifica el número de ocurrencias de lecturas con la última información de la casa vacía de 3M UC.,QTD_APONTAMENTOS2,N117,1,99,,,,2018-07-24 20:29:14,1,2017-12-26 10:54:13,
18,118,[Ctd][Nota][Fact]: 3M Pantalla apagada,Identifica el número de repeticiones de lectura con información de visualización en los últimos 3 meses de consumo de CU (4429).,QTD_APONTAMENTOS2,N118,1,99,,,,2018-07-24 20:09:49,1,2017-12-26 10:55:51,
19,119,[Ctd][Nota][Fact]: 3M Suministro a terceros,Cantidad de notas del lector Suministro a terceros de los últimos 3M de consumo,QTD_APONTAMENTOS2,N119,1,99,,,,2018-07-27 13:20:28,1,2017-12-26 10:57:43,
20,120,[Ctd][Nota][Fact]: 3M Fraude (4210),Identifica el número de ocurrencias de lectura con información de fraude en los últimos 3M de UC.,QTD_APONTAMENTOS2,N120,1,99,,,,2018-07-27 13:43:14,1,2017-12-26 11:00:46,
21,121,[Ctd][Nota][Fact]: 3M Impedimento de lectura,Identifica el número de ocurrencias de impedimento de lectura en los últimos 3M de CU,QTD_APONTAMENTOS2,N121,1,99,,,,2018-07-26 20:57:06,1,2017-12-26 11:02:31,
22,122,[Ctd][Nota][Fact]: 5M Enlace 4425,"Identifica el número de ocurrencias de lecturas con el código 4425 (Recorder Stopped / Unhabhabited Local) en los últimos 5 meses de consumo de la UC para el enlace.
",QTD_APONTAMENTOS2,N122,1,99,,,,2018-07-27 13:33:00,1,2017-12-26 11:05:10,
23,123,"[Ctd][Nota][Fact]: 6M - Sospecha de fraude (4720,4210)","Notas del lector con sospechas en los últimos 6 meses (4720,4210)
",QTD_APONTAMENTOS2,N123,1,99,,,,2018-07-26 21:01:39,1,2017-12-26 11:06:22,
24,124,[Ctd][Nota][Fact]: 6M  Medidor de defectos,"Identifica la cantidad de ocurrencias de lectura con la lectura del medidor dañada en los últimos 6 meses de consumo de UC
",QTD_APONTAMENTOS2,N124,1,99,,,,2018-07-27 13:46:02,1,2017-12-26 11:07:53,
25,125,[Ctd][Nota][Fact]:  Pérdidas - 3M,"Cantidad de notas (irregularidades) de lectores correspondientes a pérdidas, considerando los últimos 3 meses
",QTD_APONTAMENTOS2,N125,1,99,,,,2018-07-24 20:52:47,1,2017-12-26 11:09:13,
