,ID,ID_LOCALITY,ID_MUNICIPALITY,UC_COL_ID_05,UC_COL_ID_03,UC_COL_ID_01
0,9005721560,1,101,TR,90,900572
1,9005781700,1,101,TR,90,900578
2,3813704320,1,102,TR,38,381370
3,0401600580,1,101,TR,04,040160
4,0402400780,1,101,TR,04,040240
5,2208603322,1,110,TR,22,220860
6,6832840380,1,103,TR,68,683284
7,6830503000,1,103,TR,68,683050
8,5202702300,1,115,TR,52,520270
9,0104800340,1,101,TG,01,010480
10,8664201180,3,303,TR,86,866420
11,4811120380,1,101,TR,48,481112
12,8664200180,3,303,TR,86,866420
13,6830602680,1,103,TR,68,683060
14,1806400660,1,108,TG,18,180640
15,3816370180,1,102,TR,38,381637
16,1801700200,1,108,TR,18,180170
17,3400640580,1,118,TR,34,340064
18,3400640580,1,118,TR,34,340064
19,0608600220,1,101,TR,06,060860
20,4504541100,1,118,TR,45,450454
21,8628000572,3,303,TR,86,862800
22,3605561960,1,103,TR,36,360556
23,0703800200,1,101,TR,07,070380
24,0709600200,1,101,TG,07,070960
25,1806801215,1,108,TG,18,180680
26,4641560080,1,103,TR,46,464156
27,1820283440,1,108,TR,18,182028
28,7416802820,1,115,TR,74,741680
29,1821800800,1,108,TR,18,182180
30,4817370460,1,101,TR,48,481737
31,1816002740,1,108,TR,18,181600
32,7000403475,1,103,TR,70,700040
33,4001900420,1,101,TR,40,400190
34,4013050160,1,101,TR,40,401305
35,4013050170,1,101,TR,40,401305
36,4013050180,1,101,TR,40,401305
37,8620503862,3,303,TR,86,862050
38,1909007980,1,108,TR,19,190900
39,8616000560,3,303,TR,86,861600
40,4504420820,1,118,TR,45,450442
41,8601522200,3,303,TR,86,860152
42,8601522465,3,303,TR,86,860152
43,8608146040,3,303,TR,86,860814
44,8608150720,3,303,TR,86,860815
45,7502400120,3,303,TR,75,750240
46,7202120740,2,201,TR,72,720212
47,6005500100,1,111,TIN,60,600550
48,7503005080,3,303,TR,75,750300
49,7503002640,3,303,TR,75,750300
50,2203011560,1,110,TR,22,220301
51,7417140600,1,115,TR,74,741714
52,4003940580,1,101,TR,40,400394
53,4003970240,1,101,TR,40,400397
54,2209702194,1,110,TR,22,220970
55,7417100065,1,115,TR,74,741710
56,2213461940,1,110,TR,22,221346
57,5202702280,1,115,TR,52,520270
58,5202702275,1,115,TR,52,520270
59,5202702276,1,115,TR,52,520270
60,5202701980,1,115,TR,52,520270
61,2406104940,1,106,TR,24,240610
62,2406104980,1,106,TR,24,240610
63,6205380060,4,408,TR,62,620538
64,8624500084,3,303,TR,86,862450
65,4604000820,1,103,TR,46,460400
66,1808660100,1,108,TR,18,180866
67,6007900035,1,111,TG,60,600790
68,4003470570,1,101,TG,40,400347
69,4012150480,1,101,TR,40,401215
70,4012150500,1,101,TR,40,401215
71,8608150525,3,303,TR,86,860815
72,6600122140,1,103,TR,66,660012
73,6600261320,1,103,TR,66,660026
74,4807123160,1,101,TR,48,480712
75,2202710600,1,110,TR,22,220271
